"","cl1","cl2","cl3","cl4"
"A1CF",-0.0154595720507937,0.0139683527451444,-0.0182075944200527,0.00178852683749162
"A2M",0.017750394390712,0.0179436111913543,-0.0107185846604435,-0.00146977010468208
"AAAS",-0.000911059275764922,-0.0070239779750758,0.000397822696568267,-0.00495360236824899
"AACS",-0.00231884148516857,-0.00657514505020932,-0.00564724184454611,-0.00387504410176566
"AADAC",-0.00044305382975523,-0.00384581741100478,0.00294593801518764,0.00457136186173257
"AAK1",0.000181200289451866,0.0071267346121763,0.00680536846937068,0.0107475351124357
"AAMP",-0.00159619265302687,-0.00617487895842808,0.0008741018324457,-0.00783410183947948
"AARS",-0.00229800419400436,-0.00138880154035873,0.00289309890884613,-0.00525024293051199
"AARSD1",-0.00313938189716208,-0.00230033778625608,0.00283584386001572,-0.00472143022571703
"AASDHPPT",-0.00170938425619652,1.86260901148921e-05,0.00415830393790662,-0.0139880467438454
"AATF",-0.00390207717344183,-0.00139558253983833,0.00733901868071071,-0.00862801280210551
"AATK",-0.00177966469173659,0.00159321021284845,0.00284928486512942,0.00591118435475287
"ABAT",-0.011731739469407,0.034649329264242,-0.0049038533052411,-0.0108854391422829
"ABCA1",0.0102885704070821,0.00822146089619746,-0.0011456465262052,-0.000792974723679244
"ABCA12",0.00594951501968691,-0.0149630961493187,-0.00864085999723548,0.00496802788701611
"ABCA2",-0.000702672907918494,-0.00359688658357044,-0.00088197410032045,0.00495200625736719
"ABCA3",0.00736274661009886,-0.00905899241455147,0.00626054113083281,0.00635746582847197
"ABCA4",-0.000134134539057433,-0.000420629025676103,-0.00252341619449362,0.00774980449068945
"ABCA5",-0.000552651920551568,0.0048069900662195,-0.0148807337314604,0.0127030083578472
"ABCA6",0.00755902698621245,0.0119184488580395,0.00529861853053774,0.0078854998993943
"ABCA7",-0.000812671244149878,-0.00593563671513812,0.00352354477559757,0.00449290806991399
"ABCA8",0.00967539395385908,0.025977338402248,-0.0156953334339813,0.0086080627142244
"ABCB1",-0.00749450704583197,0.0228957696090146,-0.0190332244379936,-0.0105231505278371
"ABCB4",0.00242811279824801,0.00916423612526532,-0.00446230805549053,0.000477696047022569
"ABCB6///ATG9A",-0.00284542117999481,-0.00160608933977277,0.00369340401100419,-0.00175279655700132
"ABCB7",-0.00378545158648667,0.00176524031447752,0.0014794511827552,-0.00598420032503957
"ABCB8",-0.00286567115072175,-0.00173059009983628,0.00320397963821206,-0.00072455264010914
"ABCB9",-0.0055744659777999,0.000799516349497414,0.00809501486089282,0.00396247500730942
"ABCC1",-0.00478357806530767,0.00226140596505728,-0.000433165167845426,-0.000300617068022068
"ABCC10",-0.00408716604894521,0.00376423965831977,0.00250757145744719,-0.00129611220848478
"ABCC2",-0.0100474142506262,0.0129854294479723,0.0127470939018037,-0.0130058777826396
"ABCC4",-0.00527728036522414,0.0109568359944608,0.000151587241996844,-0.0183627841699853
"ABCC5",-0.00032739757231708,0.00825671072395993,-0.00102091607942235,0.00152714517823088
"ABCC6",-0.00911953839244756,0.0114613582412338,-0.00637357432244306,0.00102309230975847
"ABCC8",-0.00128580472427759,-0.00280798672840845,0.00472798093609003,0.00093482542627731
"ABCC9",0.000936063370879463,0.00565114586536782,0.00653074094491698,0.00336587500595917
"ABCD4",0.00121352440584094,-0.0073112365929902,-0.000538383113738956,0.00503139629859341
"ABCE1",-0.00378615465234215,-0.00692541919012854,0.00237484183137019,-0.0140786383978303
"ABCF1",-0.000798525208794399,0.00168583284644182,0.00150124176033466,-0.00458709830040395
"ABCF2",-0.00198381451871626,-0.000802046379162256,0.00595783175093158,-0.0112432827939821
"ABCG1",0.0012331034232083,0.00676311482253273,-0.0148270373850797,0.000555109009003855
"ABCG2",0.0045994510434855,0.00124427180909442,-0.00882210286420828,0.00042944092882655
"ABCG4",-0.0021403612823364,0.0024107699961982,0.00195408599790948,0.00191862754955776
"ABHD10",-0.000547101747129979,-0.00543708482520192,-1.73473808039526e-05,0.00259967254709657
"ABHD11",-0.00671831505834134,-0.00578792043562015,0.00371229252803849,0.000883867175373411
"ABHD14A",0.00155392441327926,-0.00950744373213166,-0.00319340698622743,0.00434427417522215
"ABHD2",0.00193334280684085,-0.000779059838316541,0.003294646995653,0.00293099587801626
"ABHD3",0.00774189784755194,-0.0162026811118779,-0.0166695261317773,6.78899134010539e-06
"ABHD4",0.00378439326566746,-0.000476893732344126,-0.00360703348737642,0.00690453127441224
"ABHD5",0.00202692214294364,-0.0029314484772386,-0.00384284429566464,-0.00617087447481655
"ABHD6",-0.00214721631623332,-0.000474748804826539,-0.00382470545594686,-0.00294961508275321
"ABHD8",0.00237330322340607,0.00471810804779901,0.00277235998940589,0.00224520349034189
"ABI1",0.00262289784525362,-9.66265156513669e-05,-0.00754768036371831,-0.011804070412334
"ABI2",-0.00131044214847752,0.00568047516330402,0.00885984209724177,-0.00561273900289218
"ABL1",-0.00449960902876969,0.00340357715368035,-0.00436755674166641,0.00112869728017571
"ABLIM1",-0.000101555022156033,-0.00759503466328074,-0.0134998008727006,0.00575382223837975
"ABLIM3",0.00796029205087198,1.99962138259334e-05,0.0106734757533595,0.00425603521611501
"ABO",-0.0030874606158145,0.000672785237473366,-0.00891840372223604,0.00754995792934624
"ABP1",-0.00799338796919559,0.0150838482089861,-0.033580871978828,0.00952290035958887
"ABR",-0.00329449667219748,-0.00028249357477389,-0.0031041204281641,0.00642978758178156
"ABTB2",-0.00151563231447355,-0.000746982748021736,0.00240499481669583,-0.00606857813086748
"ACAA1",-0.000597561123276021,-0.00165875407583264,-0.000477649941682517,0.00124910722034305
"ACAA2",-0.000531404385958747,0.00053102435963027,-0.018488539961209,-0.0195412840635061
"ACACA",-0.00559645613727249,0.00138615098645601,0.00430477582581652,-0.00535340099055658
"ACAD10",-0.00213961943376039,0.00241411244123832,0.00144333664648008,0.00379862405439212
"ACAD8",0.000107976940435643,-0.00208419884367771,-0.00818876986912857,-0.0058679716003424
"ACADM",0.000675261419835939,-0.00299074054362469,-0.0143751591446408,-0.00529641694500213
"ACADSB",-0.000146458085705914,-0.00421798394525954,-0.0058563462675127,-0.00191983394133306
"ACADVL",0.00383649920944797,-0.00414915002223038,-0.00503038756189372,0.0115459139155115
"ACAN",0.00069496555507527,0.00325622178830637,0.0016208928847714,-0.00274570847827685
"ACAP2",0.000535762238542394,0.00201783853203233,-0.00250837386814239,-0.00405606182860292
"ACAT1",5.8056509076164e-05,-0.00446450307649294,-0.00218716896867871,-0.0159016476775548
"ACAT2",-0.00303638289471023,-0.00407125333502874,-0.00392175739208661,-0.0167399096461835
"ACBD3",0.00246923130380917,-0.00554666747849443,-0.00635638407472034,-0.00239594815418403
"ACCN1",-0.00422707647089621,0.00410159825675064,0.000590336047194988,-0.0019052629789019
"ACCN2",-0.00610546400881137,0.00386060805033713,0.0100745231747326,-0.00154385863030754
"ACCN3",0.000832497688520822,-0.00344807109525441,0.00513834698529784,0.00406535345395879
"ACCN4",-0.00350687916311089,0.0036459799726906,0.00369114128715362,0.00561246873874014
"ACD",-0.00301669809847239,-0.00428734885749308,0.0124726910114731,-0.0106485106379192
"ACE",0.00328837560654795,0.000754738395233002,-0.00595779210414459,0.00722325323949036
"ACE2",-0.0228941989435159,0.0252684776233992,-0.0144590118743936,-0.0231498792957833
"ACHE",-6.54699202342855e-05,-0.00198317210677869,0.000454736355634903,-0.000543420920952416
"ACIN1",0.00102992709669761,-0.00279005663389198,-0.000369237962905922,0.00470851850968864
