"","crc_cl1","crc_cl2","crc_cl3","crc_cl4"
"ds1.PC1",1,0,0,0
"ds1.PC2",0,1,0,0
"ds1.PC3",0,0,1,0
"ds1.PC4",0,0,0,1
"ds1.PC5",0,0,0,0
"ds1.PC6",0,0,0,0
"ds1.PC7",0,0,0,0
"ds1.PC8",0,0,0,0
"ds1.PC9",0,0,0,0
"ds1.PC10",0,0,0,0
"ds1.PC11",0,0,0,0
"ds1.PC12",0,0,0,0
"ds1.PC13",0,0,0,0
"ds1.PC14",0,0,0,0
"ds1.PC15",0,0,0,0
"ds1.PC16",0,0,0,0
"ds1.PC17",0,0,0,0
"ds1.PC18",0,0,0,0
"ds1.PC19",0,0,0,0
"ds1.PC20",0,0,0,0
"ds2.PC1",0,0,0,0
"ds2.PC2",1,0,0,0
"ds2.PC3",0,1,0,0
"ds2.PC4",0,0,0,1
"ds2.PC5",0,0,1,0
"ds2.PC6",0,0,0,0
"ds2.PC7",0,0,0,0
"ds2.PC8",0,0,0,0
"ds2.PC9",0,0,0,0
"ds2.PC10",0,0,0,0
"ds2.PC11",0,0,0,0
"ds2.PC12",0,0,0,0
"ds2.PC13",0,0,0,0
"ds2.PC14",0,0,0,0
"ds2.PC15",0,0,0,0
"ds2.PC16",0,0,0,0
"ds2.PC17",0,0,0,0
"ds2.PC18",0,0,0,0
"ds2.PC19",0,0,0,0
"ds2.PC20",0,0,0,0
"ds3.PC1",1,0,0,0
"ds3.PC2",0,1,0,0
"ds3.PC3",0,1,0,0
"ds3.PC4",0,0,1,0
"ds3.PC5",0,0,0,0
"ds3.PC6",0,0,0,0
"ds3.PC7",0,0,0,0
"ds3.PC8",0,0,0,0
"ds3.PC9",0,0,0,0
"ds3.PC10",0,0,0,0
"ds3.PC11",0,0,0,0
"ds3.PC12",0,0,0,0
"ds3.PC13",0,0,0,0
"ds3.PC14",0,0,0,0
"ds3.PC15",0,0,0,0
"ds3.PC16",0,0,0,0
"ds3.PC17",0,0,0,0
"ds3.PC18",0,0,0,0
"ds3.PC19",0,0,0,0
"ds3.PC20",0,0,0,0
"ds4.PC1",1,0,0,0
"ds4.PC2",0,1,0,0
"ds4.PC3",0,0,0,1
"ds4.PC4",0,0,1,0
"ds4.PC5",0,0,0,0
"ds4.PC6",0,0,0,0
"ds4.PC7",0,0,0,0
"ds4.PC8",0,0,0,0
"ds4.PC9",0,0,0,0
"ds4.PC10",0,0,0,0
"ds4.PC11",0,0,0,0
"ds4.PC12",0,0,0,0
"ds4.PC13",0,0,0,0
"ds4.PC14",0,0,0,0
"ds4.PC15",0,0,0,0
"ds4.PC16",0,0,0,0
"ds4.PC17",0,0,0,0
"ds4.PC18",0,0,0,0
"ds4.PC19",0,0,0,0
"ds4.PC20",0,0,0,0
"ds5.PC1",0,0,0,1
"ds5.PC2",1,0,0,0
"ds5.PC3",0,0,0,0
"ds5.PC4",0,1,0,0
"ds5.PC5",0,0,0,0
"ds5.PC6",0,0,0,0
"ds5.PC7",0,0,0,0
"ds5.PC8",0,0,0,0
"ds5.PC9",0,0,0,0
"ds5.PC10",0,0,0,0
"ds5.PC11",0,0,0,0
"ds5.PC12",0,0,0,0
"ds5.PC13",0,0,0,0
"ds5.PC14",0,0,0,0
"ds5.PC15",0,0,0,0
"ds5.PC16",0,0,0,0
"ds5.PC17",0,0,0,0
"ds5.PC18",0,0,0,0
"ds5.PC19",0,0,0,0
"ds5.PC20",0,0,0,0
"ds6.PC1",1,0,0,0
"ds6.PC2",1,0,0,0
"ds6.PC3",0,0,0,1
"ds6.PC4",0,0,0,0
"ds6.PC5",0,0,0,0
"ds6.PC6",0,0,1,0
"ds6.PC7",0,0,0,0
"ds6.PC8",0,0,0,0
"ds6.PC9",0,0,0,0
"ds6.PC10",0,0,0,0
"ds6.PC11",0,0,0,0
"ds6.PC12",0,0,0,0
"ds6.PC13",0,0,0,0
"ds6.PC14",0,0,0,0
"ds6.PC15",0,0,0,0
"ds6.PC16",0,0,0,0
"ds6.PC17",0,0,0,0
"ds6.PC18",0,0,0,0
"ds6.PC19",0,0,0,0
"ds6.PC20",0,0,0,0
"ds7.PC1",1,0,0,0
"ds7.PC2",0,1,0,0
"ds7.PC3",0,0,0,1
"ds7.PC4",0,0,1,0
"ds7.PC5",0,0,0,0
"ds7.PC6",0,0,0,0
"ds7.PC7",0,0,0,0
"ds7.PC8",0,0,0,0
"ds7.PC9",0,0,0,0
"ds7.PC10",0,0,0,0
"ds7.PC11",0,0,0,0
"ds7.PC12",0,0,0,0
"ds7.PC13",0,0,0,0
"ds7.PC14",0,0,0,0
"ds7.PC15",0,0,0,0
"ds7.PC16",0,0,0,0
"ds7.PC17",0,0,0,0
"ds7.PC18",0,0,0,0
"ds7.PC19",0,0,0,0
"ds7.PC20",0,0,0,0
"ds8.PC1",0,0,0,0
"ds8.PC2",0,0,0,0
"ds8.PC3",0,0,0,0
"ds8.PC4",0,0,0,0
"ds8.PC5",0,0,0,0
"ds8.PC6",0,0,0,0
"ds8.PC7",1,0,0,0
"ds8.PC8",0,1,0,0
"ds8.PC9",0,0,0,0
"ds8.PC10",0,0,0,0
"ds8.PC11",0,0,0,0
"ds8.PC12",0,0,0,0
"ds8.PC13",0,0,0,0
"ds8.PC14",0,0,0,0
"ds8.PC15",0,0,0,0
"ds8.PC16",0,0,0,0
"ds8.PC17",0,0,0,0
"ds8.PC18",0,0,0,0
"ds8.PC19",0,0,0,0
"ds8.PC20",0,0,0,0
